행정구역,2011년07월_계_총인구수,2011년07월_계_연령구간인구수,2011년07월_계_0~9세,2011년07월_계_10~19세,2011년07월_계_20~29세,2011년07월_계_30~39세,2011년07월_계_40~49세,2011년07월_계_50~59세,2011년07월_계_60~69세,2011년07월_계_70~79세,2011년07월_계_80~89세,2011년07월_계_90~99세,2011년07월_계_100세 이상,2011년07월_남_총인구수,2011년07월_남_연령구간인구수,2011년07월_남_0~9세,2011년07월_남_10~19세,2011년07월_남_20~29세,2011년07월_남_30~39세,2011년07월_남_40~49세,2011년07월_남_50~59세,2011년07월_남_60~69세,2011년07월_남_70~79세,2011년07월_남_80~89세,2011년07월_남_90~99세,2011년07월_남_100세 이상,2011년07월_여_총인구수,2011년07월_여_연령구간인구수,2011년07월_여_0~9세,2011년07월_여_10~19세,2011년07월_여_20~29세,2011년07월_여_30~39세,2011년07월_여_40~49세,2011년07월_여_50~59세,2011년07월_여_60~69세,2011년07월_여_70~79세,2011년07월_여_80~89세,2011년07월_여_90~99세,2011년07월_여_100세 이상
서울특별시 성동구 행당제2동(1120057000),26936,26936,3067,3147,3302,5614,4563,3578,2116,1132,346,58,13,12937,12937,1512,1529,1595,2684,2317,1727,977,472,101,19,4,13999,13999,1555,1618,1707,2930,2246,1851,1139,660,245,39,9
서울특별시 성동구 응봉동(1120058000),17543,17543,1822,2128,2037,3437,3231,2195,1553,875,226,36,3,8457,8457,918,1062,1003,1627,1634,1047,698,380,75,13,0,9086,9086,904,1066,1034,1810,1597,1148,855,495,151,23,3
서울특별시 성동구 금호1가동(1120059000),16186,16186,1399,1823,2127,2987,2759,2417,1458,907,257,49,3,7906,7906,744,958,1040,1493,1395,1146,680,357,82,9,2,8280,8280,655,865,1087,1494,1364,1271,778,550,175,40,1
서울특별시 성동구 금호2.3가동(1120061500),21162,21162,1580,2329,2929,3916,3547,3033,2162,1242,363,48,13,10300,10300,798,1193,1436,1984,1811,1439,989,510,126,12,2,10862,10862,782,1136,1493,1932,1736,1594,1173,732,237,36,11
서울특별시 성동구 금호4가동(1120062000),15179,15179,1413,1387,2050,3231,2507,2160,1371,805,213,35,7,7465,7465,723,759,1057,1581,1305,1012,602,348,68,8,2,7714,7714,690,628,993,1650,1202,1148,769,457,145,27,5
서울특별시 성동구 옥수동(1120064500),22526,22526,1875,2129,3182,4271,3642,3492,2144,1292,414,74,11,11022,11022,976,1112,1543,2149,1857,1653,989,567,151,21,4,11504,11504,899,1017,1639,2122,1785,1839,1155,725,263,53,7
서울특별시 성동구 성수1가제1동(1120065000),18204,18204,1710,2330,2455,3445,3509,2517,1285,730,195,23,5,9370,9370,872,1211,1296,1761,1872,1330,630,321,70,6,1,8834,8834,838,1119,1159,1684,1637,1187,655,409,125,17,4
서울특별시 성동구 성수1가제2동(1120066000),18775,18775,1570,1709,3254,4015,2947,2751,1519,768,202,34,6,9528,9528,799,896,1599,2145,1553,1391,748,331,55,11,0,9247,9247,771,813,1655,1870,1394,1360,771,437,147,23,6
서울특별시 성동구 성수2가제1동(1120067000),21254,21254,1587,2284,3190,3756,3952,3464,1820,911,247,33,10,11025,11025,814,1200,1672,1986,2169,1803,916,390,68,6,1,10229,10229,773,1084,1518,1770,1783,1661,904,521,179,27,9
서울특별시 성동구 성수2가제3동(1120069000),12029,12029,908,1032,1986,2264,1940,2004,1140,558,161,33,3,6241,6241,474,550,962,1207,1106,1050,576,249,56,11,0,5788,5788,434,482,1024,1057,834,954,564,309,105,22,3
서울특별시 성동구 송정동(1120072000),12450,12450,908,1282,1858,2265,2390,1971,1072,529,154,18,3,6600,6600,484,667,989,1251,1370,1049,515,222,48,5,0,5850,5850,424,615,869,1014,1020,922,557,307,106,13,3
서울특별시 성동구 용답동(1120079000),17018,17018,1051,1897,2474,2936,3258,2677,1645,871,187,19,3,8984,8984,556,988,1233,1635,1864,1451,792,411,50,3,1,8034,8034,495,909,1241,1301,1394,1226,853,460,137,16,2
서울특별시 광진구 (1121500000),373608,373608,28574,44574,63613,68845,63928,54855,29279,14749,4394,685,112,185030,185030,14646,23189,30988,35058,31964,26776,14234,6608,1374,166,27,188578,188578,13928,21385,32625,33787,31964,28079,15045,8141,3020,519,85
서울특별시 광진구 화양동(1121571000),21202,21202,1015,1478,6306,4459,2815,2458,1595,813,221,32,10,10499,10499,516,744,2935,2396,1529,1165,763,368,77,3,3,10703,10703,499,734,3371,2063,1286,1293,832,445,144,29,7
서울특별시 광진구 군자동(1121573000),21583,21583,1350,2160,4320,4199,3363,3114,1837,961,231,43,5,10923,10923,685,1134,2155,2304,1746,1496,885,444,59,13,2,10660,10660,665,1026,2165,1895,1617,1618,952,517,172,30,3
서울특별시 광진구 중곡제1동(1121574000),16808,16808,1055,1689,2940,3282,2816,2608,1496,675,197,46,4,8341,8341,534,882,1385,1691,1438,1268,745,324,58,15,1,8467,8467,521,807,1555,1591,1378,1340,751,351,139,31,3
서울특별시 광진구 중곡제2동(1121575000),22805,22805,1708,2773,3814,4166,3977,3363,1863,864,235,38,4,11221,11221,863,1432,1850,2116,1959,1624,898,404,64,10,1,11584,11584,845,1341,1964,2050,2018,1739,965,460,171,28,3
서울특별시 광진구 중곡제3동(1121576000),19471,19471,1331,2507,3007,3435,3651,2882,1624,785,207,32,10,9819,9819,684,1334,1501,1813,1842,1434,792,345,64,8,2,9652,9652,647,1173,1506,1622,1809,1448,832,440,143,24,8
서울특별시 광진구 중곡제4동(1121577000),32245,32245,2281,4321,4817,5525,5727,4955,2833,1290,405,78,13,16040,16040,1218,2264,2397,2900,2806,2378,1380,564,112,15,6,16205,16205,1063,2057,2420,2625,2921,2577,1453,726,293,63,7
서울특별시 광진구 능동(1121578000),10959,10959,746,885,2368,2421,1500,1464,934,458,154,27,2,5193,5193,376,453,1051,1247,692,660,442,211,55,6,0,5766,5766,370,432,1317,1174,808,804,492,247,99,21,2
서울특별시 광진구 광장동(1121581000),35491,35491,3701,6809,4006,5085,8000,4366,1769,1242,436,67,10,17375,17375,1914,3500,2020,2175,3919,2311,833,536,147,18,2,18116,18116,1787,3309,1986,2910,4081,2055,936,706,289,49,8
서울특별시 광진구 자양제1동(1121582000),24713,24713,1741,2643,4419,4852,4029,3643,1967,1055,313,45,6,12261,12261,913,1381,2133,2490,2060,1757,926,480,109,11,1,12452,12452,828,1262,2286,2362,1969,1886,1041,575,204,34,5
서울특별시 광진구 자양제2동(1121583000),29359,29359,2535,3440,4535,5664,4835,4600,2312,1060,325,46,7,14757,14757,1335,1832,2278,2896,2397,2279,1146,482,101,10,1,14602,14602,1200,1608,2257,2768,2438,2321,1166,578,224,36,6
서울특별시 광진구 자양제3동(1121584000),32304,32304,3185,4076,5081,5735,5466,5168,2110,1055,369,54,5,15883,15883,1580,2120,2507,2749,2686,2615,1063,442,106,14,1,16421,16421,1605,1956,2574,2986,2780,2553,1047,613,263,40,4
서울특별시 광진구 자양제4동(1121584700),26433,26433,1538,2454,4751,4659,4523,4418,2502,1211,329,41,7,13449,13449,712,1336,2375,2515,2409,2201,1239,549,102,9,2,12984,12984,826,1118,2376,2144,2114,2217,1263,662,227,32,5
서울특별시 광진구 구의제1동(1121585000),23002,23002,1473,2349,4351,4974,3584,3143,1879,955,255,30,9,11117,11117,774,1178,1981,2536,1779,1437,886,445,91,8,2,11885,11885,699,1171,2370,2438,1805,1706,993,510,164,22,7
서울특별시 광진구 구의제2동(1121586000),27078,27078,2299,3227,3896,4945,4602,4115,2369,1229,324,59,13,13489,13489,1215,1653,1989,2581,2302,1948,1153,541,93,14,0,13589,13589,1084,1574,1907,2364,2300,2167,1216,688,231,45,13
서울특별시 광진구 구의제3동(1121587000),30155,30155,2616,3763,5002,5444,5040,4558,2189,1096,393,47,7,14663,14663,1327,1946,2431,2649,2400,2203,1083,473,136,12,3,15492,15492,1289,1817,2571,2795,2640,2355,1106,623,257,35,4
서울특별시 동대문구 (1123000000),366633,366633,28013,38955,56753,63883,59541,56556,36378,20081,5447,889,137,184609,184609,14312,20283,29323,33532,30948,27753,17392,8969,1795,264,38,182024,182024,13701,18672,27430,30351,28593,28803,18986,11112,3652,625,99
서울특별시 동대문구 용신동(1123053600),32529,32529,2061,2932,4977,5778,5207,5254,3639,2064,529,76,12,16897,16897,1079,1584,2552,3167,2840,2709,1805,954,180,23,4,15632,15632,982,1348,2425,2611,2367,2545,1834,1110,349,53,8
서울특별시 동대문구 제기동(1123054500),28229,28229,1914,2639,4698,4644,4205,4456,3141,1910,537,75,10,14419,14419,960,1373,2536,2544,2256,2192,1486,852,199,20,1,13810,13810,954,1266,2162,2100,1949,2264,1655,1058,338,55,9
서울특별시 동대문구 전농제1동(1123056000),27666,27666,1714,3068,3760,4442,4684,4525,3086,1851,446,73,17,14313,14313,882,1610,2011,2401,2532,2366,1480,830,172,25,4,13353,13353,832,1458,1749,2041,2152,2159,1606,1021,274,48,13
서울특별시 동대문구 전농제2동(1123057000),21433,21433,1851,2764,2862,3376,3828,3247,1953,1201,310,36,5,10513,10513,925,1437,1467,1650,1905,1578,901,526,109,13,2,10920,10920,926,1327,1395,1726,1923,1669,1052,675,201,23,3
서울특별시 동대문구 답십리제1동(1123060000),20674,20674,1591,2289,2774,3828,3519,3068,2084,1149,315,43,14,10413,10413,829,1227,1394,1993,1829,1529,976,520,99,13,4,10261,10261,762,1062,1380,1835,1690,1539,1108,629,216,30,10
서울특별시 동대문구 답십리제2동(1123061000),32421,32421,2878,3866,4206,5566,5771,4833,3071,1720,427,71,12,16099,16099,1440,1971,2164,2815,2987,2359,1471,744,122,21,5,16322,16322,1438,1895,2042,2751,2784,2474,1600,976,305,50,7
서울특별시 동대문구 장안제1동(1123065000),37125,37125,3096,3719,5440,6861,6048,6261,3575,1564,467,83,11,18795,18795,1566,1941,2799,3583,3136,3063,1807,726,146,22,6,18330,18330,1530,1778,2641,3278,2912,3198,1768,838,321,61,5
서울특별시 동대문구 장안제2동(1123066000),32824,32824,3168,3648,4405,6297,5442,5119,2914,1356,392,76,7,16578,16578,1612,2007,2275,3187,2811,2515,1451,600,103,15,2,16246,16246,1556,1641,2130,3110,2631,2604,1463,756,289,61,5
서울특별시 동대문구 청량리동(1123070500),24837,24837,1551,2240,3461,3737,3741,4452,3123,1875,552,90,15,12456,12456,791,1177,1874,2014,1959,2160,1454,803,188,33,3,12381,12381,760,1063,1587,1723,1782,2292,1669,1072,364,57,12
서울특별시 동대문구 회기동(1123071000),11154,11154,728,1121,2724,2010,1520,1332,925,577,170,39,8,5407,5407,375,547,1323,1043,770,605,425,254,53,11,1,5747,5747,353,574,1401,967,750,727,500,323,117,28,7
