행정구역,2022년07월_남_총인구수,2022년07월_남_연령구간인구수,2022년07월_남_0~9세,2022년07월_남_10~19세,2022년07월_남_20~29세,2022년07월_남_30~39세,2022년07월_남_40~49세,2022년07월_남_50~59세,2022년07월_남_60~69세,2022년07월_남_70~79세,2022년07월_남_80~89세,2022년07월_남_90~99세,2022년07월_남_100세 이상,2022년07월_여_총인구수,2022년07월_여_연령구간인구수,2022년07월_여_0~9세,2022년07월_여_10~19세,2022년07월_여_20~29세,2022년07월_여_30~39세,2022년07월_여_40~49세,2022년07월_여_50~59세,2022년07월_여_60~69세,2022년07월_여_70~79세,2022년07월_여_80~89세,2022년07월_여_90~99세,2022년07월_여_100세 이상
경상북도 예천군 풍양면(4790041000),1440,1440,19,47,88,77,137,233,397,245,186,11,0,1577,1577,21,46,59,34,83,202,369,331,373,59,0
경상북도 예천군 효자면(4790042000),592,592,8,33,25,17,42,108,208,102,42,6,1,585,585,8,22,15,18,36,94,171,98,99,24,0
경상북도 예천군 은풍면(4790043000),675,675,13,30,44,29,58,118,171,125,79,8,0,677,677,16,35,23,18,38,81,160,145,129,28,4
경상북도 봉화군 (4792000000),15428,15428,603,917,1051,932,1695,2920,3806,2183,1191,129,1,15034,15034,533,853,684,736,1268,2405,3405,2514,2208,410,18
경상북도 봉화군 봉화읍(4792025000),4704,4704,282,424,425,346,614,899,878,533,274,29,0,4868,4868,247,467,335,312,585,771,881,635,514,116,5
경상북도 봉화군 물야면(4792031000),1548,1548,42,67,80,82,123,274,468,254,140,18,0,1498,1498,39,45,36,53,90,267,377,300,242,47,2
경상북도 봉화군 봉성면(4792032000),986,986,26,32,68,63,103,170,272,163,82,7,0,1053,1053,18,39,44,42,68,156,270,198,179,38,1
경상북도 봉화군 법전면(4792033000),1003,1003,28,43,52,48,77,193,288,139,124,11,0,962,962,26,42,29,39,45,131,224,197,195,33,1
경상북도 봉화군 춘양면(4792034000),2214,2214,88,110,154,118,222,418,556,331,192,25,0,2172,2172,61,91,90,107,159,377,513,376,336,60,2
경상북도 봉화군 소천면(4792035000),1099,1099,20,46,45,45,101,228,350,168,85,10,1,1059,1059,19,34,34,41,68,177,282,196,179,28,1
경상북도 봉화군 재산면(4792036000),732,732,7,42,39,28,55,152,229,111,63,6,0,714,714,14,17,28,21,49,132,199,115,117,21,1
경상북도 봉화군 명호면(4792037000),1181,1181,26,66,62,44,123,236,328,201,87,8,0,1041,1041,21,47,24,29,70,171,264,205,177,30,3
경상북도 봉화군 상운면(4792038000),863,863,7,20,47,35,70,154,230,185,105,10,0,832,832,15,11,31,17,39,116,220,183,171,27,2
경상북도 봉화군 석포면(4792039000),1098,1098,77,67,79,123,207,196,207,98,39,5,0,835,835,73,60,33,75,95,107,175,109,98,10,0
경상북도 울진군 (4793000000),23782,23782,1318,1849,2449,2158,3186,4594,4435,2449,1228,115,1,23539,23539,1241,1571,1674,1759,2715,3686,4459,3064,2751,607,12
경상북도 울진군 울진읍(4793025000),6900,6900,486,803,863,685,1088,1290,955,474,235,21,0,6755,6755,451,743,647,580,1111,1137,936,583,467,99,1
경상북도 울진군 평해읍(4793025300),1274,1274,28,120,81,76,122,243,266,201,125,12,0,1386,1386,17,55,70,60,87,177,306,289,260,64,1
경상북도 울진군 북면(4793031000),3585,3585,384,253,439,564,557,622,446,220,97,2,1,3172,3172,375,199,272,487,449,453,437,237,217,44,2
경상북도 울진군 북면하당출장소(4793031500),351,351,5,8,22,19,38,87,89,43,39,1,0,331,331,3,8,19,8,15,45,80,63,76,14,0
경상북도 울진군 근남면(4793033000),1394,1394,67,63,108,95,169,284,327,162,109,10,0,1361,1361,42,55,72,66,114,202,302,206,240,61,1
